Club;Latitude;Longitude;Players
Cerdanyola Valles F.C.;41.492119937849964;2.1276293504646615;858
Mercantil  C.E;41.51941526612023;2.1302043819897647;592
Sant Cugat Futbol Club;41.47801146117327;2.0797355546353895;620
Sabadell F.C.  C.E.;41.556900125077405;2.09268854118455;652
Can Rull Romulo Tronchoni  Cfu;41.555408000442;2.082725929920137;498
Uni¢ F. Base Jabac I Terrassa;41.54758890380445;2.022141736638578;546
Fundaci¢ Terrassa Fc 1906;41.58287201120283;2.016539716479542;494
Escola F. Barbera Andalucia;41.51882021606247;2.129581440355875;576
Junior C.F.;41.48226773775308;2.055658925676807;400
Natacio Terrassa  C;41.575463799650855;2.008894784661431;450
San Cristobal  C.P.;41.5661681671477;2.0348161144457033;420
Base Montcada Club Futbol;41.47281502135875;2.184896865611925;436
Rubi  U.E.;41.50256050142078;2.044299747621682;384
Mirasol-Baco Uni¢n  C.F.;41.468792177768684;2.0474006757708247;368
Sant Quirze Valles  F.C.;41.537381584811044;2.082248884054274;394
Sabadellenca  Ue.;41.524315169725625;2.11215367772448;262
Sabadell Nord Cf.;41.52426703257739;2.112408569424242;216
Castellar  Unio Esportiva;41.60877980576236;2.086755638795262;398
P? Blaugrana Sant Cugat;41.48043064354931;2.091587815173334;304
Ripollet  C.F.;41.49964217539803;2.1487591878398487;292
Olimpic Can Fatjo  C.E.;41.484756744216256;2.0245239123736747;390
Escuela F.Base Ripollet Ad.;41.501216827389925;2.162941999418546;352
Juventud 25 De Septiembre;41.48459973607849;2.041185042193468;280
Planadeu-Roureda Uni¢ Esportiva Futbol;41.57472836410633;2.0881056565526124;368
Escola F. Sabadell;41.53911696455022;2.1261922850664887;262
